year,month,day,date,epochTime,value,raw_value,NaN,isodate
2015,4,1,04/01/2015,1427846400,{'avg': 0.0},0.0,0.0,04/01/2015
2015,4,2,04/02/2015,1427932800,{'avg': 0.0},0.0,0.0,04/02/2015
2015,4,3,04/03/2015,1428019200,{'avg': 0.2628803253173828},0.2628803253173828,0.0,04/03/2015
2015,4,4,04/04/2015,1428105600,{'avg': 0.2628803253173828},0.2628803253173828,0.0,04/04/2015
2015,4,5,04/05/2015,1428192000,{'avg': 0.2628803253173828},0.2628803253173828,0.0,04/05/2015
2015,4,6,04/06/2015,1428278400,{'avg': 0.0},0.0,0.0,04/06/2015
2015,4,7,04/07/2015,1428364800,{'avg': 1.0301744937896729},1.0301744937896729,0.0,04/07/2015
2015,4,8,04/08/2015,1428451200,{'avg': 0.0},0.0,0.0,04/08/2015
2015,4,9,04/09/2015,1428537600,{'avg': 0.0},0.0,0.0,04/09/2015
2015,4,10,04/10/2015,1428624000,{'avg': 0.0},0.0,0.0,04/10/2015
2015,4,11,04/11/2015,1428710400,{'avg': 0.0},0.0,0.0,04/11/2015
2015,4,12,04/12/2015,1428796800,{'avg': 0.9624375700950623},0.9624375700950623,0.0,04/12/2015
2015,4,13,04/13/2015,1428883200,{'avg': 0.0},0.0,0.0,04/13/2015
2015,4,14,04/14/2015,1428969600,{'avg': 0.0},0.0,0.0,04/14/2015
2015,4,15,04/15/2015,1429056000,{'avg': 0.0},0.0,0.0,04/15/2015
2015,4,16,04/16/2015,1429142400,{'avg': 0.0},0.0,0.0,04/16/2015
2015,4,17,04/17/2015,1429228800,{'avg': 0.0},0.0,0.0,04/17/2015
2015,4,18,04/18/2015,1429315200,{'avg': 0.0},0.0,0.0,04/18/2015
2015,4,19,04/19/2015,1429401600,{'avg': 9.752695083618164},9.752695083618164,0.0,04/19/2015
2015,4,20,04/20/2015,1429488000,{'avg': 12.617780685424805},12.617780685424805,0.0,04/20/2015
2015,4,21,04/21/2015,1429574400,{'avg': 12.629390716552734},12.629390716552734,0.0,04/21/2015
2015,4,22,04/22/2015,1429660800,{'avg': 38.99129104614258},38.99129104614258,0.0,04/22/2015
2015,4,23,04/23/2015,1429747200,{'avg': 0.0},0.0,0.0,04/23/2015
2015,4,24,04/24/2015,1429833600,{'avg': 0.6055737733840942},0.6055737733840942,0.0,04/24/2015
2015,4,25,04/25/2015,1429920000,{'avg': 0.26756325364112854},0.26756325364112854,0.0,04/25/2015
2015,4,26,04/26/2015,1430006400,{'avg': 0.7543786764144897},0.7543786764144897,0.0,04/26/2015
2015,4,27,04/27/2015,1430092800,{'avg': 0.0},0.0,0.0,04/27/2015
2015,4,28,04/28/2015,1430179200,{'avg': 0.0},0.0,0.0,04/28/2015
2015,4,29,04/29/2015,1430265600,{'avg': 0.0},0.0,0.0,04/29/2015
2015,4,30,04/30/2015,1430352000,{'avg': 0.0},0.0,0.0,04/30/2015
2015,5,1,05/01/2015,1430438400,{'avg': 0.0},0.0,0.0,05/01/2015
